epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2209,2.12729,5.07302,1.42398,0.01678,0.16944,0.0138,0.00765,1.8102,4.46399,1.26023,4.002e-05,4.002e-05,4.002e-05
2,15.1108,1.80968,3.90666,1.19627,0.16926,0.14546,0.07182,0.04128,1.69155,3.93146,1.19806,8.58516e-05,8.58516e-05,8.58516e-05
3,17.769,1.63954,2.30551,1.08942,0.3202,0.33815,0.25532,0.14772,1.45946,4.32359,1.10828,0.000130759,0.000130759,0.000130759
4,20.4006,1.57186,1.71114,1.03198,0.41059,0.35577,0.41652,0.2603,1.41661,3.84966,1.08739,0.000174741,0.000174741,0.000174741
5,23.0208,1.52449,1.45557,1.03977,0.79289,0.45674,0.4919,0.3085,1.40615,1.87405,1.08943,0.0002178,0.0002178,0.0002178
6,25.6164,1.47185,1.29387,1.00877,0.59532,0.67567,0.54135,0.34319,1.39365,2.02003,1.08797,0.000259933,0.000259933,0.000259933
7,28.1633,1.45613,1.11341,1.03816,0.51034,0.59754,0.56822,0.38743,1.37713,1.60574,1.08155,0.000301142,0.000301142,0.000301142
8,30.8767,1.42028,1.04842,0.99,0.61117,0.58308,0.60546,0.39474,1.40958,1.38434,1.0972,0.000341427,0.000341427,0.000341427
9,33.4249,1.41252,1.00827,0.99897,0.62674,0.67359,0.62399,0.38679,1.37934,0.98806,1.06581,0.000380788,0.000380788,0.000380788
10,35.7955,1.37877,0.88303,1.00362,0.69469,0.71505,0.68391,0.42813,1.37206,0.95562,1.05052,0.000419224,0.000419224,0.000419224
11,38.1732,1.35369,0.86021,0.9717,0.89497,0.66118,0.75936,0.4922,1.3746,0.80643,1.05379,0.000456735,0.000456735,0.000456735
12,40.4676,1.35011,0.86725,0.96998,0.88451,0.682,0.77258,0.50015,1.39502,0.81435,1.05581,0.000493322,0.000493322,0.000493322
13,42.9002,1.38454,0.8164,0.98763,0.89991,0.68724,0.76784,0.50988,1.38757,0.78098,1.05406,0.000528984,0.000528984,0.000528984
14,45.2699,1.35404,0.79451,0.97277,0.88726,0.71052,0.76285,0.50037,1.36925,0.73865,1.05243,0.000563722,0.000563722,0.000563722
15,47.7763,1.29018,0.76639,0.97314,0.90431,0.73313,0.76868,0.5001,1.35555,0.75076,1.04235,0.000574554,0.000574554,0.000574554
16,51.0547,1.36887,0.78146,0.96585,0.92051,0.72963,0.79099,0.52039,1.33751,0.72398,1.03978,0.00056795,0.00056795,0.00056795
17,53.9321,1.32357,0.75002,0.95693,0.92714,0.72841,0.79078,0.50035,1.3189,0.68385,1.03866,0.000561347,0.000561347,0.000561347
18,56.4722,1.34613,0.73629,0.99082,0.6822,0.80828,0.78442,0.52082,1.31765,0.69416,1.03243,0.000554744,0.000554744,0.000554744
19,59.4342,1.3729,0.73376,0.96603,0.87923,0.77116,0.77397,0.50239,1.36414,0.73687,1.05147,0.000548141,0.000548141,0.000548141
20,62.0064,1.34826,0.73751,0.96202,0.87492,0.79196,0.77547,0.49966,1.33285,0.69745,1.03903,0.000541537,0.000541537,0.000541537
21,64.5473,1.32852,0.72537,0.97052,0.86477,0.79192,0.78012,0.52137,1.32982,0.6917,1.0342,0.000534934,0.000534934,0.000534934
22,67.4027,1.29325,0.6884,0.95847,0.88712,0.79098,0.80002,0.51651,1.38849,0.69097,1.0547,0.000528331,0.000528331,0.000528331
23,69.926,1.32526,0.68179,0.96642,0.9155,0.84377,0.85565,0.57594,1.33675,0.65917,1.03246,0.000521727,0.000521727,0.000521727
24,72.7953,1.25953,0.65792,0.94509,0.92408,0.84845,0.86544,0.58407,1.31209,0.63204,1.03052,0.000515124,0.000515124,0.000515124
25,75.7205,1.27217,0.67549,0.93901,0.91585,0.83796,0.85996,0.57661,1.30888,0.62758,1.02815,0.000508521,0.000508521,0.000508521
26,78.2498,1.30698,0.66219,0.9409,0.91276,0.81568,0.84776,0.53754,1.33828,0.64076,1.04388,0.000501917,0.000501917,0.000501917
27,80.7599,1.28096,0.6866,0.96664,0.90425,0.78709,0.78243,0.52942,1.31676,0.69861,1.03463,0.000495314,0.000495314,0.000495314
28,83.3028,1.28007,0.65193,0.94689,0.90691,0.79794,0.78378,0.52169,1.36735,0.66762,1.04998,0.000488711,0.000488711,0.000488711
29,85.7377,1.26253,0.6415,0.96085,0.90283,0.79787,0.78332,0.506,1.39003,0.68494,1.06137,0.000482108,0.000482108,0.000482108
30,88.3262,1.30794,0.64755,0.97316,0.92069,0.849,0.83885,0.55891,1.31528,0.64378,1.02585,0.000475504,0.000475504,0.000475504
31,90.9748,1.24892,0.63159,0.93572,0.92455,0.86113,0.83715,0.55651,1.32546,0.61148,1.0283,0.000468901,0.000468901,0.000468901
32,93.4932,1.26048,0.64689,0.96151,0.93099,0.86131,0.83685,0.56913,1.31864,0.61178,1.02834,0.000462298,0.000462298,0.000462298
33,96.0289,1.24371,0.60801,0.95516,0.91629,0.86347,0.84253,0.57514,1.31762,0.61369,1.03024,0.000455694,0.000455694,0.000455694
34,99.4987,1.23609,0.61768,0.9452,0.91639,0.86086,0.83433,0.56403,1.34501,0.6282,1.03957,0.000449091,0.000449091,0.000449091
35,102.9,1.28667,0.60657,0.97183,0.92009,0.85775,0.83425,0.57109,1.3087,0.59621,1.02898,0.000442488,0.000442488,0.000442488
36,106.08,1.24997,0.61607,0.94118,0.91348,0.85274,0.83446,0.58359,1.30131,0.60465,1.02212,0.000435884,0.000435884,0.000435884
37,109.21,1.24911,0.61149,0.96327,0.90493,0.85784,0.82554,0.55901,1.2934,0.60542,1.01758,0.000429281,0.000429281,0.000429281
38,112.345,1.25185,0.59632,0.97294,0.92386,0.85229,0.82535,0.56464,1.28603,0.596,1.02034,0.000422678,0.000422678,0.000422678
39,115.584,1.21871,0.58451,0.9477,0.90748,0.8634,0.8295,0.57669,1.27259,0.60166,1.01315,0.000416075,0.000416075,0.000416075
40,118.779,1.24678,0.6109,0.95341,0.90135,0.86802,0.83189,0.56618,1.3019,0.59509,1.02256,0.000409471,0.000409471,0.000409471
41,123.963,1.25264,0.62063,0.93294,0.90576,0.86596,0.83332,0.56908,1.29926,0.5983,1.02563,0.000402868,0.000402868,0.000402868
42,126.238,1.26208,0.60376,0.94079,0.91781,0.86239,0.85175,0.59686,1.30207,0.6016,1.03012,0.000396265,0.000396265,0.000396265
43,128.487,1.22444,0.60327,0.94018,0.91701,0.86482,0.8515,0.59105,1.2868,0.59397,1.02974,0.000389661,0.000389661,0.000389661
44,130.749,1.23603,0.59372,0.93155,0.90863,0.86529,0.85824,0.58819,1.2883,0.57989,1.0286,0.000383058,0.000383058,0.000383058
45,132.985,1.20838,0.57525,0.93029,0.92545,0.86336,0.85983,0.5736,1.28627,0.55794,1.02878,0.000376455,0.000376455,0.000376455
46,135.327,1.17667,0.56433,0.9223,0.93366,0.85553,0.86395,0.59038,1.29296,0.56579,1.02853,0.000369851,0.000369851,0.000369851
47,137.591,1.20974,0.57554,0.9363,0.92863,0.86183,0.8697,0.59557,1.29579,0.57106,1.03021,0.000363248,0.000363248,0.000363248
48,139.89,1.20843,0.57196,0.92448,0.92035,0.86449,0.85758,0.60076,1.26648,0.57736,1.02349,0.000356645,0.000356645,0.000356645
49,142.164,1.20846,0.58118,0.91831,0.90597,0.86335,0.84761,0.58558,1.26762,0.58301,1.02265,0.000350042,0.000350042,0.000350042
50,144.419,1.2078,0.56934,0.95556,0.91785,0.83727,0.84289,0.59743,1.26669,0.59176,1.01885,0.000343438,0.000343438,0.000343438
51,146.614,1.20176,0.57111,0.94704,0.88937,0.86244,0.82327,0.5541,1.29322,0.58781,1.02791,0.000336835,0.000336835,0.000336835
52,148.81,1.17573,0.56918,0.93026,0.91417,0.86088,0.82523,0.56105,1.2781,0.57545,1.02188,0.000330232,0.000330232,0.000330232
53,151.007,1.16159,0.55733,0.94646,0.91524,0.85595,0.8268,0.55775,1.27197,0.57354,1.02016,0.000323628,0.000323628,0.000323628
54,153.287,1.19178,0.56125,0.92769,0.92413,0.85324,0.84267,0.57932,1.28856,0.59213,1.03119,0.000317025,0.000317025,0.000317025
55,155.516,1.18082,0.54228,0.92748,0.91974,0.85456,0.83946,0.57298,1.28697,0.58278,1.03387,0.000310422,0.000310422,0.000310422
56,157.691,1.18198,0.55233,0.93276,0.92087,0.85244,0.83114,0.56925,1.26653,0.57321,1.02249,0.000303818,0.000303818,0.000303818
57,160,1.14142,0.5481,0.93244,0.92186,0.85581,0.83222,0.56788,1.27244,0.57579,1.02374,0.000297215,0.000297215,0.000297215
58,162.28,1.18099,0.53774,0.9373,0.91027,0.86061,0.83588,0.53309,1.28977,0.59125,1.02644,0.000290612,0.000290612,0.000290612
59,164.579,1.18474,0.56331,0.92165,0.8994,0.85655,0.83619,0.55227,1.28388,0.58299,1.0241,0.000284009,0.000284009,0.000284009
60,166.849,1.14888,0.54366,0.93481,0.91661,0.83132,0.83323,0.52672,1.29511,0.57767,1.02629,0.000277405,0.000277405,0.000277405
61,169.081,1.1386,0.53032,0.91973,0.90681,0.80086,0.77817,0.51436,1.29508,0.57793,1.02616,0.000270802,0.000270802,0.000270802
62,171.304,1.16349,0.54687,0.92225,0.91328,0.8012,0.77888,0.5165,1.31483,0.60708,1.03067,0.000264199,0.000264199,0.000264199
63,173.527,1.14022,0.5492,0.92541,0.89928,0.8001,0.77341,0.51192,1.31899,0.59496,1.03026,0.000257595,0.000257595,0.000257595
64,175.648,1.13135,0.52356,0.91807,0.88431,0.79553,0.77646,0.50898,1.29797,0.57815,1.02686,0.000250992,0.000250992,0.000250992
65,177.727,1.203,0.55933,0.93769,0.86569,0.80971,0.78219,0.52602,1.31701,0.58285,1.03642,0.000244389,0.000244389,0.000244389
66,179.946,1.10581,0.51868,0.90592,0.86744,0.80613,0.7886,0.5219,1.32064,0.59069,1.03933,0.000237785,0.000237785,0.000237785
67,182.201,1.12768,0.53994,0.91459,0.911,0.80392,0.79055,0.52756,1.30022,0.59135,1.03398,0.000231182,0.000231182,0.000231182
68,184.477,1.14851,0.53462,0.93124,0.90558,0.80282,0.78597,0.52175,1.31801,0.60026,1.03942,0.000224579,0.000224579,0.000224579
69,186.614,1.13297,0.52401,0.91772,0.90533,0.80253,0.7872,0.52352,1.32239,0.59593,1.03909,0.000217976,0.000217976,0.000217976
70,188.802,1.15146,0.52812,0.92784,0.91034,0.80153,0.7832,0.51722,1.33177,0.59738,1.04338,0.000211372,0.000211372,0.000211372
71,190.993,1.14449,0.5195,0.93153,0.90811,0.79428,0.7815,0.52239,1.3119,0.58607,1.03477,0.000204769,0.000204769,0.000204769
72,193.168,1.14919,0.52592,0.93166,0.90968,0.79553,0.78207,0.5326,1.27877,0.57189,1.02423,0.000198166,0.000198166,0.000198166
73,195.289,1.14274,0.52549,0.91073,0.91525,0.79944,0.78186,0.5347,1.27768,0.57035,1.02388,0.000191562,0.000191562,0.000191562
74,197.463,1.13168,0.51393,0.93162,0.92166,0.79705,0.7819,0.53915,1.27674,0.56985,1.02233,0.000184959,0.000184959,0.000184959
75,199.662,1.14186,0.52959,0.90765,0.92019,0.79896,0.78013,0.53174,1.28661,0.57534,1.02488,0.000178356,0.000178356,0.000178356
76,201.817,1.09541,0.51187,0.9031,0.91098,0.79889,0.78073,0.52875,1.29738,0.58002,1.0307,0.000171752,0.000171752,0.000171752
77,203.915,1.12358,0.50636,0.94361,0.90828,0.79908,0.77746,0.52077,1.30019,0.57606,1.03247,0.000165149,0.000165149,0.000165149
78,206.013,1.11319,0.52076,0.90923,0.91253,0.79998,0.77673,0.52498,1.28603,0.56955,1.02926,0.000158546,0.000158546,0.000158546
79,208.118,1.10868,0.50877,0.90992,0.90025,0.80382,0.77262,0.5228,1.2884,0.56451,1.03151,0.000151943,0.000151943,0.000151943
80,210.223,1.10967,0.50152,0.91672,0.90559,0.80204,0.77112,0.51929,1.29503,0.55977,1.03642,0.000145339,0.000145339,0.000145339
81,212.321,1.11478,0.51597,0.92178,0.90779,0.80283,0.7756,0.52554,1.28632,0.55765,1.03322,0.000138736,0.000138736,0.000138736
82,214.438,1.08465,0.49904,0.90038,0.91202,0.79869,0.77589,0.52546,1.2741,0.56365,1.03107,0.000132133,0.000132133,0.000132133
